X,Y,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label
-77.1444743783707,42.5427948876494,Lake,4,Keuka Lake,Keuka L.,Finger Lakes,,,,-99,,4,5
-76.8936826888956,42.6340477670603,Lake,4,Seneca Lake,Seneca L.,Finger Lakes,,,,-99,,4,5
-76.7149803172694,42.7145563558308,Lake,4,Cayuga Lake,Cayuga L.,Finger Lakes,,,,-99,,4,5
-106.356714683203,57.4695582283057,Lake,4,Cree Lake,Cree L.,,,,,-99,,4,5
-99.3633819098529,62.998893992347,Lake,4,,,,_untitled_29,,,-99,,4,5
-102.211299120928,60.2872116532101,Lake,4,Kasba Lake,Kasba L.,,,,,-99,,4,5
-90.5009270679173,30.2657502373689,Lake,4,,,,_untitled_28,,,-99,,4,5
-74.5050483817314,56.1372661889078,Lake,4,Lac-à-l'Eau-Claire,Lac-à-l'Eau-Claire,,,,,-99,,4,5
-79.8435816912243,46.2532547101441,Lake,4,Lake Nipissing,L. Nipissing,,,,,-99,,4,5
-76.3120324045679,56.338905615993,Lake,4,,,,_untitled_27,,,-99,,4,5
-156.778334662235,57.6139438326638,Lake,4,,,,_untitled_26,,,-99,,4,5
-159.837157728152,66.4846068037767,Lake,4,,,,_untitled_25,,,-99,,4,5
-115.507797342334,60.2308409228643,Lake,4,,,,_untitled_24,,,-99,,4,5
-76.7709179971853,53.224827515067,Lake,4,Lake Sakami,L. Sakami,,,,,-99,,4,5
-105.044335174076,21.8036646747148,Lake,4,,,,_untitled_23,,,-99,,4,5
-106.014943671535,60.0219895746644,Lake,4,Scott Lake,Scott L.,,,,,-99,,4,5
-70.9353501003392,81.800003069153,Lake,4,,,,_untitled_9,,,-99,,4,5
-89.2094685015836,52.9248704695199,Lake,4,,,,_untitled_8,,,-99,,4,5
-70.9944418056121,53.2411647241229,Lake,4,,,,_untitled_7,,,-99,,4,5
-101.996172560318,57.0213888447477,Lake,4,,,,_untitled_0,,,-99,,4,5
-110.328518274711,44.4321710376441,Lake,4,Yellowstone Lake,Yellowstone L.,,,,,-99,,4,5
-153.522499844282,70.6030553064759,Lake,4,Teshekpuk Lake,Teshekpuk L.,,,,,-99,,4,5
-114.10476928356,47.9016938220815,Lake,4,Flathead Lake,Flathead L.,,,,,-99,,4,5
-112.028107030535,58.5640040529813,Lake,4,Lake Clare,L. Clare,,,,,-99,,4,5
-89.0611939656746,15.5797767527064,Lake,5,Lago de Izabal,L. de Izabal,,,,,-99,,4.7,6
-103.043322029609,20.2173363936022,Lake,5,Lago de Chapala,L. de Chapala,,,,,-99,,4.7,6
-86.3991696710016,12.337355892351,Lake,5,Lago de Managua,L. de Managua,Lake Xolotln,,,,-99,,4.7,6
-93.1151148559654,48.6451104251525,Lake,5,Rainy Lake,Rainy L.,,,,,-99,,4.7,6
-96.1720279233439,56.1783299846426,Lake,5,Split Lake,Split L.,,,,,-99,,4.7,6
-90.7299322566061,51.0555110801702,Lake,5,Lake St. Joseph,L. St. Joseph,,,,,-99,,4.7,6
-71.1648501586917,64.9965961411261,Lake,5,Amadjuak Lake,Amadjuak L.,,,,,-99,,4.7,6
-132.44711553493,60.0287599495884,Lake,5,Teslin Lake,Teslin L.,,,,,-99,,4.7,6
-72.7708594574054,55.1087579287097,Lake,5,Lake Bienville,L. Bienville,,,,,-99,,4.7,6
-116.377547412356,48.1365963955326,Lake,5,Lake Pend Oreille,L. Pend Oreille,,,,,-99,,4.7,6
-77.3054262217486,42.7941818522199,Lake,5,Canandaigua Lake,Canandaigua L.,Finger Lakes,,,,-99,,4.7,6
-76.5229656858603,42.8623271476509,Lake,5,Owasco Lake,Owasco L.,Finger Lakes,,,,-99,,4.7,6
