HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude,Xstart,Ystart,Xend,Yend,Link,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label,,,,,,,,,,
N/A,,Wafd,Abu Dhabi,Heard and McDonald Islands,,,-68.2431122981021,53.7053769526096,-68.2231122981021,53.7253769526096,-68.2631122981021,53.6853769526096,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=53.7253769526096,-68.2231122981021&visible=53.6853769526096,-68.2631122981021",Lake,7,,,,_untitled_24,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,Cuanda,Zaire,Argentina,V9411XAF,,-86.3991696710016,12.337355892351,-86.3791696710016,12.357355892351,-86.4191696710016,12.317355892351,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=12.357355892351,-86.3791696710016&visible=12.317355892351,-86.4191696710016",Lake,5,Lago de Managua,L. de Managua,Lake Xolotln,,,,-99,,4.7,6,,,,,,,,,,
N/A,,,,,,,-108.291286977649,70.8035172770525,-108.271286977649,70.8235172770525,-108.311286977649,70.7835172770525,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=70.8235172770525,-108.271286977649&visible=70.7835172770525,-108.311286977649",Lake,9,,,,_untitled_133,,,-99,,7,8,,,,,,,,,,
N/A,,,,,,,-101.655519729526,62.3005151007271,-101.635519729526,62.3205151007271,-101.675519729526,62.2805151007271,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=62.3205151007271,-101.635519729526&visible=62.2805151007271,-101.675519729526",Lake,7,,,,_untitled_108,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-90.0228341889335,53.782500353918,-90.0028341889335,53.802500353918,-90.0428341889335,53.762500353918,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=53.802500353918,-90.0028341889335&visible=53.762500353918,-90.0428341889335",Lake,5,Big Trout Lake,Big Trout L.,,,,,-99,,4.7,6,,,,,,,,,,
N/A,,,,,,,-93.1151148559654,48.6451104251525,-93.0951148559654,48.6651104251525,-93.1351148559654,48.6251104251525,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=48.6651104251525,-93.0951148559654&visible=48.6251104251525,-93.1351148559654",Lake,5,Rainy Lake,Rainy L.,,,,,-99,,4.7,6,,,,,,,,,,
N/A,,Mā’ Maţūrah,Dhofar,Heard and McDonald Islands,,,-68.1976089818537,53.1867073606035,-68.1776089818537,53.2067073606035,-68.2176089818537,53.1667073606035,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=53.2067073606035,-68.1776089818537&visible=53.1667073606035,-68.2176089818537",Lake,7,,,,_untitled_23,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-100.940573325406,62.3496739099581,-100.920573325406,62.3696739099581,-100.960573325406,62.3296739099581,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=62.3696739099581,-100.920573325406&visible=62.3296739099581,-100.960573325406",Lake,7,,,,_untitled_107,,,-99,,5.7,6.7,,,,,,,,,,
N/A,,,,,,,-93.3090073678229,29.9587284527706,-93.2890073678229,29.9787284527706,-93.3290073678229,29.9387284527706,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=29.9787284527706,-93.2890073678229&visible=29.9387284527706,-93.3290073678229",Lake,8,,,,_untitled_38,,,-99,,6,7,,,,,,,,,,
N/A,,,,,,,-99.77778869846,62.3804349612434,-99.75778869846,62.4004349612434,-99.79778869846,62.3604349612434,"http://maps.googleapis.com/maps/api/staticmap?sensor=false&size=640x400&maptype=satellite&visible=62.4004349612434,-99.75778869846&visible=62.3604349612434,-99.79778869846",Lake,7,,,,_untitled_106,,,-99,,5.7,6.7,,,,,,,,,,
