,Latitude,Longitude,,,
118,101.000625,73.016400,,,
124,99.798393,74.103045,,,
125,105.690415,74.513609,,,
128,107.124340,74.151026,,,
130,107.218014,74.609057,,,
131,103.679388,67.423481,,,
140,-94.382672,50.217162,,,
143,95.223735,36.964889,,,
145,-105.713149,54.280270,,,
146,90.894575,38.082590,,,
147,-138.150292,59.204688,,,
148,-92.872230,50.454125,,,
149,-107.288341,33.017319,,,
150,-107.160019,33.265909,,,
152,-138.222463,59.283724,,,
154,-106.898092,50.946449,,,
155,-138.033339,59.449599,,,
156,-103.127267,55.939012,,,
158,111.565647,32.786979,,,
159,-113.761681,58.667767,,,
162,-97.155720,66.018481,,,
164,-103.934001,31.985720,,,
165,-95.697729,53.195685,,,
169,-104.297942,32.682627,,,
174,149.013925,-33.946693,,,
175,-91.940012,53.301509,,,
181,125.094177,40.561724,,,
183,137.298600,-28.483884,,,
184,-103.702575,55.375893,,,
187,-90.806077,53.868307,,,
195,-113.270151,66.277522,,,
203,102.642799,18.603044,,,
205,128.691265,-16.432175,,,
213,-103.629372,20.940736,,,
223,103.109171,54.736682,,,
230,-101.771460,41.264960,,,
232,-106.820553,42.062245,,,
234,-122.678725,40.948224,,,
238,-96.580095,33.929553,,,
239,-96.172028,56.178330,,,
240,-109.523626,41.120722,,,
242,-90.729932,51.055511,,,
243,-112.717428,42.940481,,,
245,-105.441288,27.542588,,,
246,-132.447116,60.028760,,,
247,-101.824344,18.581555,,,
248,-92.548892,16.122879,,,
250,-90.010944,44.059653,,,
252,-116.377547,48.136596,,,
257,-98.984502,26.165552,,,
267,-90.214182,29.765920,,,
268,-114.013455,36.209404,,,
270,-101.689026,35.610961,,,
271,-110.690189,37.423950,,,
272,-115.739993,55.450515,,,
273,-103.474469,35.383712,,,
275,-163.930536,60.302813,,,
278,-104.190216,35.462749,,,
279,-123.913297,55.961384,,,
281,-93.804158,31.585237,,,
282,-106.937870,47.693284,,,
283,-112.154298,70.945254,,,
284,-102.316042,47.823099,,,
286,-124.995188,67.468372,,,
289,-100.485917,45.579308,,,
290,-97.450080,66.429561,,,
291,90.581986,30.725400,,,
293,-92.383048,63.083524,,,
294,-111.097361,43.239996,,,
295,-94.971578,62.208968,,,
296,-104.955391,42.544708,,,
298,-103.656467,54.769503,,,
300,-101.403451,55.171163,,,
301,-106.888424,42.382661,,,
302,-96.795042,54.236851,,,
304,-93.484891,17.114003,,,
308,160.066872,69.307853,,,
309,-111.354457,42.007199,,,
312,114.435726,30.066760,,,
315,114.439931,30.067938,,,
316,-98.169392,18.945242,,,
319,-111.774260,40.219232,,,
321,-118.809234,59.745140,,,
323,-98.745722,23.957674,,,
325,-121.620540,64.624078,,,
326,-109.779347,27.979866,,,
328,-122.382065,67.498544,,,
330,-121.479443,39.646693,,,
331,-98.686202,65.722940,,,
333,-108.169471,43.315648,,,
334,-100.859236,66.479161,,,
337,-90.661094,66.708618,,,
339,-97.314902,63.337118,,,
342,-117.435950,64.174879,,,
343,-121.046738,60.552139,,,
346,-95.554135,54.850895,,,
356,92.878125,35.765355,,,
357,108.158667,53.631050,,,
359,91.916765,35.579023,,,
360,-93.083696,64.862513,,,
362,-94.427394,63.122527,,,
364,-99.370357,64.176645,,,
370,-100.355534,56.338023,,,
371,-100.150372,53.948080,,,
372,-97.302567,57.349163,,,
374,-103.340302,58.118925,,,
375,-102.039372,55.832305,,,
376,90.196419,35.769624,,,
377,-96.477261,63.956608,,,
378,-101.863083,55.738550,,,
379,90.322066,35.215483,,,
380,-100.428627,55.881317,,,
381,-95.924675,65.323782,,,
382,90.340084,34.796309,,,
383,-110.483006,64.540479,,,
384,-95.420771,65.170124,,,
385,90.389881,34.909786,,,
386,-121.536679,63.967352,,,
387,-96.115719,64.564028,,,
388,-111.277300,63.958080,,,
389,114.222800,30.018337,,,
390,-126.301743,66.889063,,,
391,114.040718,29.938417,,,
393,91.164838,35.594624,,,
394,-94.444119,47.176233,,,
396,-90.573112,48.883104,,,
397,-112.022213,64.763460,,,
398,-121.143750,60.586874,,,
401,91.700016,68.397385,,,
403,-105.643664,59.099747,,,
405,-146.663449,62.398980,,,
407,-119.734195,68.502620,,,
408,-117.270520,63.885519,,,
409,-106.957811,55.871308,,,
410,91.035382,69.471520,,,
411,-117.520375,60.556702,,,
413,-106.464769,55.695426,,,
415,-104.482420,60.074092,,,
416,-102.583179,62.572949,,,
417,-104.957650,55.116117,,,
418,-107.293632,54.766854,,,
419,-103.372344,61.530017,,,
420,-93.680144,46.247073,,,
422,-103.690740,58.629059,,,
423,-95.018156,47.987059,,,
425,-94.799118,48.129237,,,
426,-93.123182,69.252071,,,
427,-102.820798,66.557756,,,
429,-109.109219,61.857497,,,
432,-97.415191,61.453924,,,
434,-94.382785,54.629533,,,
436,-105.563149,61.583444,,,
437,-97.975732,62.697318,,,
441,102.391347,57.454840,,,
443,-95.778582,55.512478,,,
445,-163.216722,65.616527,,,
447,-165.689141,65.131121,,,
448,122.772522,-23.479105,,,
450,-163.853033,61.147638,,,
451,-162.632146,60.803085,,,
452,128.794079,-22.332851,,,
454,-158.911528,59.247223,,,
455,136.022135,-31.713647,,,
456,-158.720829,59.960762,,,
458,-159.001380,60.232607,,,
460,-159.011537,59.546739,,,
462,-108.482367,64.175909,,,
463,127.702376,54.307499,,,
464,137.833135,-31.038964,,,
466,-107.451745,63.938651,,,
468,-107.763612,55.567524,,,
472,-104.268881,60.667972,,,
475,90.582921,31.245100,,,
476,-95.634042,64.907993,,,
477,99.040502,14.717143,,,
480,118.988722,29.607846,,,
482,-114.277659,34.422760,,,
483,115.643227,40.321376,,,
484,-113.644780,65.316717,,,
487,-121.948671,42.439032,,,
493,-137.112332,61.438470,,,
494,90.528665,49.477719,,,
495,91.194211,33.882455,,,
496,-155.909289,58.626262,,,
499,-162.866150,61.076108,,,
500,146.659094,69.266495,,,
501,-154.322352,60.241880,,,
502,146.495089,71.000447,,,
503,90.848841,32.085215,,,
504,-150.845026,60.170938,,,
505,147.138511,71.044601,,,
507,-160.033856,61.374740,,,
508,139.800330,-30.679840,,,
510,143.202716,71.715163,,,
511,119.273320,-29.230538,,,
512,151.798371,68.455669,,,
513,152.246633,68.602262,,,
514,137.399202,-29.305601,,,
516,139.859799,-25.086039,,,
518,155.240134,68.541329,,,
